image_id,label_id,label_name,relpath
train_00000,0,AM General Hummer SUV 2000,images/train/train_00000.jpg
train_00001,0,AM General Hummer SUV 2000,images/train/train_00001.jpg
train_00002,0,AM General Hummer SUV 2000,images/train/train_00002.jpg
train_00003,0,AM General Hummer SUV 2000,images/train/train_00003.jpg
train_00004,0,AM General Hummer SUV 2000,images/train/train_00004.jpg
train_00005,0,AM General Hummer SUV 2000,images/train/train_00005.jpg
train_00006,0,AM General Hummer SUV 2000,images/train/train_00006.jpg
train_00007,0,AM General Hummer SUV 2000,images/train/train_00007.jpg
train_00009,0,AM General Hummer SUV 2000,images/train/train_00009.jpg
train_00010,0,AM General Hummer SUV 2000,images/train/train_00010.jpg
train_00011,0,AM General Hummer SUV 2000,images/train/train_00011.jpg
train_00012,0,AM General Hummer SUV 2000,images/train/train_00012.jpg
train_00013,0,AM General Hummer SUV 2000,images/train/train_00013.jpg
train_00014,0,AM General Hummer SUV 2000,images/train/train_00014.jpg
train_00015,0,AM General Hummer SUV 2000,images/train/train_00015.jpg
train_00016,0,AM General Hummer SUV 2000,images/train/train_00016.jpg
train_00017,0,AM General Hummer SUV 2000,images/train/train_00017.jpg
train_00018,0,AM General Hummer SUV 2000,images/train/train_00018.jpg
train_00019,0,AM General Hummer SUV 2000,images/train/train_00019.jpg
train_00020,0,AM General Hummer SUV 2000,images/train/train_00020.jpg
train_00021,0,AM General Hummer SUV 2000,images/train/train_00021.jpg
train_00022,0,AM General Hummer SUV 2000,images/train/train_00022.jpg
train_00024,0,AM General Hummer SUV 2000,images/train/train_00024.jpg
train_00025,0,AM General Hummer SUV 2000,images/train/train_00025.jpg
train_00026,0,AM General Hummer SUV 2000,images/train/train_00026.jpg
train_00027,0,AM General Hummer SUV 2000,images/train/train_00027.jpg
train_00028,0,AM General Hummer SUV 2000,images/train/train_00028.jpg
train_00030,0,AM General Hummer SUV 2000,images/train/train_00030.jpg
train_00031,0,AM General Hummer SUV 2000,images/train/train_00031.jpg
train_00032,0,AM General Hummer SUV 2000,images/train/train_00032.jpg
train_00033,0,AM General Hummer SUV 2000,images/train/train_00033.jpg
train_00036,0,AM General Hummer SUV 2000,images/train/train_00036.jpg
train_00037,0,AM General Hummer SUV 2000,images/train/train_00037.jpg
train_00039,0,AM General Hummer SUV 2000,images/train/train_00039.jpg
train_00040,0,AM General Hummer SUV 2000,images/train/train_00040.jpg
train_00042,0,AM General Hummer SUV 2000,images/train/train_00042.jpg
train_00043,0,AM General Hummer SUV 2000,images/train/train_00043.jpg
train_00044,0,AM General Hummer SUV 2000,images/train/train_00044.jpg
train_00045,1,Acura RL Sedan 2012,images/train/train_00045.jpg
train_00046,1,Acura RL Sedan 2012,images/train/train_00046.jpg
train_00047,1,Acura RL Sedan 2012,images/train/train_00047.jpg
train_00048,1,Acura RL Sedan 2012,images/train/train_00048.jpg
train_00049,1,Acura RL Sedan 2012,images/train/train_00049.jpg
train_00050,1,Acura RL Sedan 2012,images/train/train_00050.jpg
train_00051,1,Acura RL Sedan 2012,images/train/train_00051.jpg
train_00052,1,Acura RL Sedan 2012,images/train/train_00052.jpg
train_00053,1,Acura RL Sedan 2012,images/train/train_00053.jpg
train_00054,1,Acura RL Sedan 2012,images/train/train_00054.jpg
train_00055,1,Acura RL Sedan 2012,images/train/train_00055.jpg
train_00056,1,Acura RL Sedan 2012,images/train/train_00056.jpg
train_00058,1,Acura RL Sedan 2012,images/train/train_00058.jpg
train_00059,1,Acura RL Sedan 2012,images/train/train_00059.jpg
train_00060,1,Acura RL Sedan 2012,images/train/train_00060.jpg
train_00061,1,Acura RL Sedan 2012,images/train/train_00061.jpg
train_00062,1,Acura RL Sedan 2012,images/train/train_00062.jpg
train_00063,1,Acura RL Sedan 2012,images/train/train_00063.jpg
train_00064,1,Acura RL Sedan 2012,images/train/train_00064.jpg
train_00065,1,Acura RL Sedan 2012,images/train/train_00065.jpg
train_00066,1,Acura RL Sedan 2012,images/train/train_00066.jpg
train_00067,1,Acura RL Sedan 2012,images/train/train_00067.jpg
train_00068,1,Acura RL Sedan 2012,images/train/train_00068.jpg
train_00071,1,Acura RL Sedan 2012,images/train/train_00071.jpg
train_00072,1,Acura RL Sedan 2012,images/train/train_00072.jpg
train_00073,1,Acura RL Sedan 2012,images/train/train_00073.jpg
train_00075,1,Acura RL Sedan 2012,images/train/train_00075.jpg
train_00077,10,Aston Martin Virage Coupe 2012,images/train/train_00077.jpg
train_00078,10,Aston Martin Virage Coupe 2012,images/train/train_00078.jpg
train_00079,10,Aston Martin Virage Coupe 2012,images/train/train_00079.jpg
train_00081,10,Aston Martin Virage Coupe 2012,images/train/train_00081.jpg
train_00082,10,Aston Martin Virage Coupe 2012,images/train/train_00082.jpg
train_00083,10,Aston Martin Virage Coupe 2012,images/train/train_00083.jpg
train_00084,10,Aston Martin Virage Coupe 2012,images/train/train_00084.jpg
train_00085,10,Aston Martin Virage Coupe 2012,images/train/train_00085.jpg
train_00086,10,Aston Martin Virage Coupe 2012,images/train/train_00086.jpg
